region,rep,segment,units,amount
North,rep_19,Mid-Market,15,3232.95
South,rep_39,Enterprise,17,7346.55
East,rep_37,SMB,2,378.96
North,rep_18,Mid-Market,13,3323.19
South,rep_32,SMB,3,2156.22
East,rep_30,Mid-Market,10,7630.5
South,rep_06,Mid-Market,10,1933.0
West,rep_33,Enterprise,36,33674.76
West,rep_14,Enterprise,12,7463.04
South,rep_34,SMB,3,2712.24
South,rep_33,SMB,3,2562.06
East,rep_32,Enterprise,39,18700.5
South,rep_32,Enterprise,36,17572.32
South,rep_23,Mid-Market,9,3781.98
East,rep_21,Enterprise,29,23713.88
North,rep_01,Enterprise,26,9683.44
North,rep_25,Mid-Market,12,2856.72
West,rep_04,Mid-Market,7,1801.1
East,rep_10,SMB,2,1835.98
West,rep_21,SMB,2,1535.24
West,rep_26,Enterprise,21,15264.48
North,rep_27,SMB,4,2589.32
South,rep_19,SMB,4,868.88
South,rep_31,Enterprise,34,15000.12
East,rep_17,Mid-Market,9,6107.04
East,rep_36,Mid-Market,13,6236.36
South,rep_11,SMB,1,337.98
West,rep_15,SMB,4,3475.04
West,rep_09,Mid-Market,11,3588.53
North,rep_22,Enterprise,13,5494.58
East,rep_37,Mid-Market,6,5125.86
West,rep_27,Mid-Market,14,8097.18
West,rep_22,Mid-Market,15,3407.55
East,rep_24,SMB,2,1403.86
South,rep_18,Enterprise,23,10862.21
West,rep_20,Mid-Market,3,830.13
West,rep_31,SMB,5,2761.35
North,rep_34,Mid-Market,10,9189.0
South,rep_15,Enterprise,17,5024.69
North,rep_30,SMB,1,599.14
North,rep_09,Enterprise,22,13480.06
North,rep_20,SMB,2,1312.24
West,rep_08,SMB,1,233.47
South,rep_17,Mid-Market,6,4684.62
North,rep_35,Enterprise,27,25305.48
East,rep_16,Mid-Market,10,5799.7
South,rep_27,Enterprise,27,5994.81
South,rep_27,Mid-Market,4,1502.04
West,rep_15,Mid-Market,10,2059.1
East,rep_27,SMB,3,2096.25
South,rep_19,Enterprise,40,9250.0
West,rep_20,Enterprise,20,7108.2
South,rep_19,Mid-Market,4,3613.84
West,rep_12,SMB,2,1097.28
North,rep_10,SMB,4,885.24
North,rep_10,SMB,4,877.6
North,rep_26,Enterprise,36,31053.96
East,rep_08,SMB,1,888.01
East,rep_12,Enterprise,37,7556.88
West,rep_22,Mid-Market,10,3086.4
North,rep_18,Enterprise,13,5812.43
North,rep_14,SMB,4,1804.16
East,rep_06,Mid-Market,3,2147.97
South,rep_35,Mid-Market,10,3267.0
East,rep_31,SMB,1,660.06
South,rep_26,SMB,1,465.43
West,rep_04,Enterprise,24,7875.84
North,rep_22,SMB,3,1160.88
North,rep_21,Mid-Market,7,2842.21
North,rep_15,Enterprise,14,7575.96
West,rep_17,Mid-Market,9,7193.25
South,rep_12,Mid-Market,3,2369.85
East,rep_10,SMB,5,1797.35
East,rep_24,Mid-Market,15,11617.65
North,rep_13,SMB,4,3008.76
South,rep_05,Mid-Market,13,2674.62
East,rep_28,Enterprise,14,13030.5
East,rep_06,SMB,2,506.56
West,rep_29,SMB,2,715.98
West,rep_40,Mid-Market,13,4661.15
North,rep_19,Mid-Market,7,4275.81
East,rep_17,Mid-Market,6,3083.64
South,rep_16,Enterprise,17,6695.11
South,rep_05,Mid-Market,9,3341.34
South,rep_34,SMB,2,1347.46
North,rep_30,SMB,1,257.77
West,rep_29,Enterprise,31,6531.08
East,rep_08,Enterprise,11,3564.88
South,rep_24,Enterprise,40,33530.4
West,rep_17,SMB,6,5392.38
North,rep_39,SMB,6,3906.96
South,rep_24,Enterprise,29,8335.76
South,rep_03,Mid-Market,12,8837.88
South,rep_21,Enterprise,34,23647.68
South,rep_20,SMB,1,334.59
West,rep_31,SMB,1,490.21
West,rep_36,SMB,2,1331.56
North,rep_11,SMB,4,2834.04
West,rep_20,Mid-Market,9,8139.78
East,rep_37,SMB,3,1484.1
North,rep_13,Mid-Market,9,6599.7
South,rep_28,Enterprise,18,9036.9
North,rep_37,Mid-Market,8,4242.32
South,rep_01,Enterprise,11,6590.98
West,rep_37,Enterprise,31,22949.61
South,rep_23,Enterprise,26,7877.48
South,rep_07,Enterprise,32,17689.28
South,rep_09,Mid-Market,3,2764.26
West,rep_04,Mid-Market,12,10606.68
West,rep_40,Enterprise,18,11999.7
South,rep_26,SMB,5,4116.15
West,rep_37,Enterprise,21,4445.7
South,rep_23,Mid-Market,4,1174.4
South,rep_36,Enterprise,10,6876.0
East,rep_25,Enterprise,37,22127.48
East,rep_27,SMB,3,1868.37
West,rep_24,Mid-Market,10,5627.2
South,rep_01,Enterprise,39,20810.79
West,rep_30,SMB,2,1592.0
West,rep_05,Enterprise,16,7240.32
East,rep_29,Enterprise,40,22708.8
North,rep_09,Enterprise,13,11450.66
East,rep_33,SMB,1,221.24
West,rep_09,SMB,1,831.37
North,rep_09,Enterprise,39,15552.81
South,rep_15,SMB,1,813.11
East,rep_21,Enterprise,25,21696.25
West,rep_17,Enterprise,40,36515.6
West,rep_38,Enterprise,24,15553.44
South,rep_24,Mid-Market,3,993.6
West,rep_18,Enterprise,28,24094.28
South,rep_08,Mid-Market,15,8750.25
East,rep_36,Mid-Market,11,6829.13
North,rep_35,Mid-Market,13,10803.26
East,rep_25,Mid-Market,8,4950.32
East,rep_06,Mid-Market,10,3548.4
North,rep_34,Mid-Market,7,2909.62
East,rep_01,SMB,6,1234.08
South,rep_40,Mid-Market,13,6610.5
East,rep_09,Enterprise,39,13756.08
North,rep_04,Enterprise,8,4888.08
East,rep_34,Enterprise,30,17577.9
West,rep_20,SMB,5,1408.15
East,rep_31,SMB,2,564.82
South,rep_10,SMB,4,1011.24
South,rep_18,SMB,4,3187.16
North,rep_36,Enterprise,30,18959.7
West,rep_34,SMB,6,3327.42
South,rep_03,Enterprise,11,6423.56
West,rep_16,Enterprise,18,4038.66
North,rep_40,Enterprise,20,5762.4
South,rep_39,SMB,6,3391.68
West,rep_12,SMB,5,2075.65
East,rep_04,SMB,6,4650.36
North,rep_28,Mid-Market,14,12226.48
North,rep_29,SMB,2,703.44
North,rep_15,Mid-Market,13,2723.5
East,rep_17,SMB,6,1319.52
West,rep_34,SMB,3,1214.01
South,rep_33,Enterprise,8,2472.16
South,rep_13,SMB,2,1494.16
East,rep_25,Enterprise,29,18471.26
West,rep_35,SMB,4,2155.32
North,rep_28,Enterprise,22,13496.12
East,rep_26,Enterprise,12,7314.72
South,rep_03,Enterprise,9,2385.36
South,rep_10,Mid-Market,14,2825.76
North,rep_03,Enterprise,12,8879.52
North,rep_24,SMB,2,1602.7
North,rep_25,SMB,1,367.4
South,rep_03,Enterprise,10,9014.3
North,rep_19,SMB,4,1023.64
North,rep_14,SMB,3,1267.65
West,rep_02,Mid-Market,8,3000.72
East,rep_24,Enterprise,28,21409.36
West,rep_40,Mid-Market,14,2849.7
West,rep_28,Enterprise,14,6209.7
North,rep_37,SMB,2,1445.88
North,rep_19,SMB,2,1022.8
South,rep_04,Mid-Market,3,1332.99
North,rep_12,Mid-Market,10,6303.4
East,rep_11,SMB,3,2398.74
South,rep_11,Mid-Market,4,3573.68
North,rep_36,Mid-Market,15,3891.9
East,rep_07,Mid-Market,9,7970.94
North,rep_02,Mid-Market,8,2693.2
East,rep_35,Mid-Market,11,3410.44
South,rep_09,Mid-Market,11,6946.61
North,rep_38,Mid-Market,8,4612.16
West,rep_36,SMB,6,2554.38
West,rep_17,Mid-Market,12,4266.96
East,rep_16,Mid-Market,11,3581.6
East,rep_40,SMB,2,1459.48
South,rep_21,SMB,5,2884.3
South,rep_21,Enterprise,20,7532.0
North,rep_07,Enterprise,20,9440.4
South,rep_20,Mid-Market,9,3492.9
North,rep_07,SMB,3,1010.7
West,rep_03,Mid-Market,3,1449.78
West,rep_15,SMB,5,4627.35
East,rep_02,Mid-Market,5,1877.4
West,rep_16,Enterprise,35,24950.8
West,rep_38,Enterprise,22,15322.78
North,rep_28,Mid-Market,8,3019.6
North,rep_16,Mid-Market,15,7261.5
South,rep_28,Mid-Market,10,5259.5
West,rep_12,SMB,6,2575.92
North,rep_32,Mid-Market,4,835.96
South,rep_13,Enterprise,30,7704.9
West,rep_14,SMB,6,3249.36
North,rep_24,SMB,5,2202.85
West,rep_12,Enterprise,33,18825.84
North,rep_40,SMB,3,1993.65
East,rep_25,Mid-Market,9,2040.66
North,rep_27,Mid-Market,13,9238.71
East,rep_17,SMB,1,350.56
West,rep_15,SMB,4,2124.84
South,rep_05,Enterprise,20,10731.2
South,rep_23,Enterprise,34,18215.84
East,rep_09,SMB,4,1798.44
South,rep_25,Mid-Market,13,4845.1
West,rep_12,SMB,4,728.2
East,rep_16,Mid-Market,13,5321.94
West,rep_28,Mid-Market,12,7972.2
East,rep_20,Enterprise,32,7147.84
East,rep_34,Enterprise,30,19836.0
North,rep_01,SMB,2,1806.68
East,rep_39,Mid-Market,4,2478.6
South,rep_29,Enterprise,30,23295.3
South,rep_35,Mid-Market,5,3216.15
North,rep_36,SMB,6,4904.94
South,rep_14,Mid-Market,11,2637.25
West,rep_08,SMB,5,1350.0
West,rep_09,Enterprise,38,21080.12
North,rep_30,Mid-Market,5,3561.6
South,rep_11,Mid-Market,11,6992.7
North,rep_21,Enterprise,37,26228.19
West,rep_19,SMB,4,1859.88
West,rep_05,SMB,2,1328.3
North,rep_40,Enterprise,10,6987.7
East,rep_33,Enterprise,38,20837.3
South,rep_14,Enterprise,34,22277.14
East,rep_24,Enterprise,29,15678.85
South,rep_28,Mid-Market,8,4008.16
North,rep_19,Mid-Market,8,6472.64
West,rep_33,Mid-Market,7,5904.15
East,rep_32,Enterprise,15,6472.2
East,rep_20,SMB,2,1251.4
North,rep_26,Enterprise,33,19618.5
North,rep_20,Mid-Market,4,738.88
South,rep_39,Mid-Market,15,10201.35
West,rep_10,SMB,6,4152.06
North,rep_03,Enterprise,37,24242.77
South,rep_12,Enterprise,10,5003.9
North,rep_01,SMB,3,2527.98
South,rep_36,Mid-Market,14,5265.12
East,rep_27,Enterprise,10,4220.4
West,rep_38,SMB,1,558.3
North,rep_27,Enterprise,33,17137.56
North,rep_25,SMB,5,3149.5
South,rep_27,Mid-Market,11,2833.05
West,rep_10,Enterprise,8,4036.16
North,rep_08,SMB,1,345.87
North,rep_31,Enterprise,9,3504.06
South,rep_12,Mid-Market,3,1374.18
South,rep_06,SMB,3,1973.25
West,rep_17,Mid-Market,3,2175.24
North,rep_01,Enterprise,13,6182.8
East,rep_39,SMB,2,1815.7
West,rep_04,SMB,3,1378.05
West,rep_11,Mid-Market,5,4572.15
North,rep_11,Mid-Market,13,10262.2
West,rep_29,Mid-Market,7,5434.17
East,rep_18,Mid-Market,3,1957.8
East,rep_01,SMB,2,1273.72
East,rep_28,SMB,2,932.54
West,rep_15,SMB,4,1581.28
North,rep_17,Mid-Market,7,3507.7
North,rep_10,Mid-Market,15,12853.05
South,rep_36,Mid-Market,13,10017.15
West,rep_35,Mid-Market,4,2361.56
West,rep_13,Mid-Market,15,11252.1
South,rep_39,Mid-Market,3,2085.06
West,rep_14,SMB,3,1876.98
North,rep_30,Mid-Market,11,2713.15
East,rep_15,Enterprise,33,20476.17
East,rep_21,SMB,4,2258.76
South,rep_14,Enterprise,20,5001.2
East,rep_37,Mid-Market,12,5433.12
South,rep_03,Enterprise,39,18106.53
North,rep_30,Mid-Market,15,3631.8
East,rep_02,SMB,3,1179.66
North,rep_03,Enterprise,21,19586.91
West,rep_37,SMB,2,757.62
East,rep_07,Mid-Market,10,7631.1
South,rep_03,Mid-Market,8,2662.0
South,rep_06,Mid-Market,3,656.28
East,rep_30,SMB,4,3599.52
North,rep_26,SMB,1,716.85
North,rep_21,Mid-Market,12,4286.88
North,rep_33,SMB,4,1275.32
South,rep_16,Mid-Market,14,4879.14
North,rep_23,Mid-Market,3,2598.27
North,rep_17,Enterprise,40,28772.0
West,rep_07,Enterprise,17,7164.48
North,rep_20,Enterprise,36,27216.0
North,rep_21,Mid-Market,8,3002.64
North,rep_31,Mid-Market,9,2773.08
South,rep_01,Enterprise,37,26828.33
South,rep_11,Enterprise,22,5260.64
East,rep_09,SMB,4,3632.16
West,rep_05,Enterprise,36,33082.56
East,rep_31,Enterprise,15,9861.3
South,rep_15,Mid-Market,14,3123.54
West,rep_10,SMB,4,3367.0
East,rep_27,Mid-Market,6,1789.92
East,rep_19,SMB,3,2373.45
East,rep_07,Mid-Market,8,4213.6
West,rep_10,Enterprise,40,8928.4
South,rep_31,SMB,3,811.74
South,rep_28,Mid-Market,7,6569.85
South,rep_25,Enterprise,26,12892.88
South,rep_19,Enterprise,17,15703.92
North,rep_33,Mid-Market,8,4545.6
West,rep_34,Enterprise,26,8351.72
West,rep_27,Enterprise,21,8198.4
South,rep_12,Enterprise,22,15858.26
South,rep_06,SMB,1,855.89
West,rep_12,Mid-Market,6,1704.9
South,rep_20,SMB,2,375.26
West,rep_04,SMB,5,3980.45
East,rep_32,Mid-Market,4,766.96
West,rep_18,Enterprise,23,7392.2
East,rep_11,Enterprise,31,19125.14
North,rep_34,Mid-Market,10,9162.4
North,rep_23,Enterprise,23,18413.11
East,rep_25,SMB,5,3755.0
North,rep_07,Mid-Market,14,7784.7
North,rep_35,SMB,2,391.44
North,rep_40,Enterprise,19,5844.21
East,rep_36,Mid-Market,3,584.34
South,rep_02,Mid-Market,12,7968.0
West,rep_16,SMB,6,3105.6
East,rep_12,Enterprise,10,3874.9
West,rep_38,Mid-Market,11,8346.25
North,rep_08,Enterprise,33,28121.61
South,rep_10,Enterprise,37,27653.8
South,rep_25,Enterprise,34,21547.5
North,rep_04,Mid-Market,15,6841.05
West,rep_22,Enterprise,35,28724.5
East,rep_36,Mid-Market,3,1280.73
South,rep_23,SMB,2,1683.16
North,rep_07,Mid-Market,11,3547.5
East,rep_13,Mid-Market,11,7574.05
South,rep_27,Enterprise,33,25416.6
West,rep_03,SMB,1,206.12
East,rep_40,SMB,3,1972.41
North,rep_07,SMB,3,817.47
North,rep_16,Mid-Market,3,1195.56
East,rep_11,Mid-Market,4,903.44
East,rep_30,Enterprise,17,8744.46
South,rep_27,Mid-Market,12,4789.32
South,rep_06,SMB,6,3571.2
West,rep_37,SMB,2,1348.54
South,rep_24,SMB,4,3431.12
East,rep_31,SMB,4,3209.2
North,rep_22,Enterprise,22,7116.78
West,rep_26,SMB,1,882.39
South,rep_21,Enterprise,28,15497.16
East,rep_19,Enterprise,11,8435.02
South,rep_05,SMB,5,4210.85
West,rep_04,SMB,5,2373.95
West,rep_07,Mid-Market,11,3862.43
South,rep_22,Mid-Market,13,5822.31
South,rep_40,SMB,3,2412.33
North,rep_31,SMB,3,2329.68
South,rep_07,Mid-Market,3,1475.76
North,rep_26,Mid-Market,12,3524.64
East,rep_39,SMB,1,468.47
West,rep_30,SMB,3,2188.59
East,rep_26,Mid-Market,11,6622.77
West,rep_21,SMB,1,778.18
